Administration (ADM),0,0,1
Annex I & II,0,0,1
August Coppola Theatre,0,0,1
Bookstore,0,0,1
Burk Hall (BH),0,0,1
Business (BUS),0,0,2,6,0,4
Cesar Chavez Student Center (CCSC),0,0,1
Child Care Center (Associated Students),0,0,1
Children's Campus,0,0,1
Conference Center (The Towers),0,0,1
Copy Center (CCSC),0,0,1
Corporation Yard,0,0,1
Cox Stadium,0,0,1
Creative Arts (CA),0,0,1
Dining Center (City Eats),0,0,1
Ethnic Studies & Psychology (EP),0,0,1
Facilities & Capital Planning,0,0,1
Fine Arts (FA),0,0,1
Garden of Remembrance,0,0,1
Greenhouse #1,0,0,1
Greenhouse #2,0,0,1
Gymnasium (GYM),0,0,1
Health Center (SHS),0,0,1
Hensill Hall (HH),0,0,1
Housing Rental Office (MWH),0,0,1
HSS,0,0,1
Humanities (HUM),0,0,1
Jack Adams Hall (SC),0,0,1
Knuth Hall (CA),0,0,1
Labor Archives -- (LIB),0,0,1
Library - J. P. Leonard & Sutro (LIB),0,0,1
Little Theatre (CA),0,0,1
Maloney Field (hardball),0,0,1
Mary Park Hall (MPH),0,0,1
Mary Ward Hall (MWH),0,0,1
McKenna Theatre (CA),0,0,1
Memorial Grove,0,0,1
Mashouf Wellness Center,0,0,1
Museum (HUM),0,0,1
Nasser Family Plaza,0,0,1
OneStop Center,0,0,1
Parking Garage (main),0,0,1
Parking & Transportation,0,0,1
Planetarium (TH),0,0,1
Police,0,0,1
Procurement and Support Services,0,0,1
Recycling/Resource Center,0,0,1
Science (SCI),0,0,40,42,38,5,8,15,4
Seven Hills Center,0,0,1
Shipping & Receiving,0,0,1
Softball Field,0,0,1
Student Events Center (Annex I),0,0,1
Student Services (SSB),0,0,1
Studio Theatre (CA),0,0,1
Sutro Library (LIB),0,0,1
Temporary Buildings,0,0,1
Tennis Courts,0,0,1
Thornton Hall (TH),0,0,17
The Towers at Cent. Sq.,0,0,1
Towers Conference Center,0,0,1
University Park North,0,0,1
University Park South,0,0,1
University Property Management,0,0,1
UPN/UPS Rental Office (UPN),0,0,1
Village at Centennial Square,0,0,1
West Campus Green,0,0,1
